title,plot_synopsis,tags
Music Man,"=== Act I ===
In the early summer of 1912, aboard a train leaving Rock Island, Illinois, Charlie Cowell and other traveling salesmen engage in a heated argument about consumer credit (""Rock Island""). The conversation eventually turns to another topic: a con man known as ""Professor"" Harold Hill, whose scam is to convince parents he can teach their musically disinclined children to play musical instruments. On the premise that he will form a band, he takes orders for instruments and uniforms. But once the instruments and uniforms arrive and are paid for, he skips town without forming the band, moving on before he is exposed. Upon the train’s arrival in River City, Iowa, a stranger stands up and declares, ""Gentlemen, you intrigue me. I think I shall have to give Iowa a try."" Retrieving his suitcase, clearly labeled ""Professor Harold Hill,"" he exits the train.
The townspeople of River City describe their reserved, ""chip-on-the-shoulder attitude"" (""Iowa Stubborn""). Harold stumbles across his old friend Marcellus Washburn, who has ""gone legit"" and now lives in town. Marcellus tells Harold that Marian Paroo, the librarian who gives piano lessons, is the only trained musician in town. He also informs Hill that a new pool table was just delivered to the town's local billiard parlor, so to launch his scheme, Harold convinces River City parents of the ""trouble"" that will be caused by that pool table (""Ya Got Trouble""). Harold follows Marian home, attempting to flirt with her, but she ignores him. At home, Marian gives a piano lesson to a little girl named Amaryllis while arguing with her widowed mother about her high ""standards where men are concerned"", telling Mrs. Paroo about the man who followed her home (""Piano Lesson/If You Don't Mind My Saying So""). Marian's self-conscious, lisping 10-year-old brother Winthrop arrives home. Amaryllis, who secretly likes Winthrop but teases him about the lisp, asks Marian whom she should say goodnight to on the evening star, since she doesn't have a sweetheart. Marian tells her to just say goodnight to her ""someone"" (""Goodnight, My Someone"").
The next day is Independence Day, and Mayor Shinn is leading the morning festivities in the high school gym, with the help of his self-important wife, Eulalie MacKecknie Shinn (""Columbia, Gem of the Ocean""). After Tommy Djilas, a boy from the wrong side of town, sets off a firecracker, interrupting the proceedings, Harold takes the stage and announces to the townspeople that he will prevent ""sin and corruption"" from the pool table by forming a boys' band (""Ya Got Trouble [Reprise]/Seventy-Six Trombones""). Mayor Shinn, who owns the billiard parlor, tells the bickering school board to get Harold's credentials, but Harold teaches them to sing as a Barbershop Quartet to distract them (""Ice Cream/Sincere""). Harold also sets up Zaneeta, the mayor's eldest daughter, with Tommy, and persuades Tommy to work as his assistant. After another rejection by Marian, Harold is determined to win her, telling Marcellus that she’s the girl for him (""The Sadder But Wiser Girl""). The town ladies are very excited about the band and the ladies' dance committee that Harold plans to form. He mentions Marian, and they intimate to him (falsely, as it turns out) that she had an inappropriate relationship with deceased old miser Madison, who gave the town the library, but left all the books to her. They also warn Harold that she advocates the ""dirty books"" by ""Chaucer, Rabelais, and Balzac"" (""Pick-a-Little, Talk-a-Little""). The school board arrives to review Harold's credentials, but he leads them in song and slips away (""Goodnight, Ladies"").
The next day, Harold walks into the library, but Marian ignores him yet again. He declares his unrequited love for her, leading the teenagers in the library in dance (""Marian the Librarian""). For a moment, Marian forgets her decorum and dances with Harold. He kisses her, and she tries to slap him. He ducks, and she hits Tommy instead. With Tommy's help, Harold signs up all the boys in town to be in his band, including Winthrop. Mrs. Paroo likes Harold and tries to find out why Marian is not interested. Marian describes her ideal man (""My White Knight""). She tries to give Mayor Shinn evidence against Harold that she found in the Indiana State Educational Journal, but they are interrupted by the arrival of the Wells Fargo wagon, which delivers the band instruments (""The Wells Fargo Wagon""). When Winthrop forgets to be shy and self-conscious because he is so happy about his new cornet, Marian begins to see Harold in a new light. She tears the incriminating page out of the Journal before giving the book to Mayor Shinn.
=== Act II ===
The ladies rehearse their classical dance in the school gym while the school board practices their quartet (""It's You"") for the ice cream social. Marcellus and the town's teenagers interrupt the ladies' practice, taking over the gym as they dance (""Shipoopi""). Harold grabs Marian to dance with her, and all the teenagers join in. Regarding Winthrop's cornet, Marian later questions Harold about his claim that ""you don't have to bother with the notes"". He explains that this is what he calls ""The Think System"", and he arranges to call on Marian to discuss it. The town ladies ask Marian to join their dance committee, since she was ""so dear dancing the Shipoopi"" with Professor Hill (""Pick-a-Little, Talk-a-Little"" [Reprise]). They have reversed their opinions about her books, and they eagerly tell her that ""the Professor told us to read those books, and we simply adored them all!""
That night, the school board tries to collect Harold's credentials again, but he gets them to sing again and slips away (""Lida Rose""). Marian, meanwhile, is sitting on her front porch thinking of Harold (""Will I Ever Tell You?""). Winthrop returns home after spending time with Harold and tells Marian and Mrs. Paroo about Harold's hometown (""Gary, Indiana""). As Marian waits alone for Harold, traveling salesman Charlie Cowell enters with evidence against Harold, hoping to tell Mayor Shinn. He only has a few minutes before his train leaves, but stops to flirt with Marian. She tries to delay him so he doesn't have time to deliver the evidence, eventually kissing him. As the train whistle blows, she pushes him away. Charlie angrily tells Marian that Harold has a girl in ""every county in Illinois, and he's taken it from every one of them – and that's 102 counties!""
Harold arrives, and after he reminds her of the untrue rumors he's heard about her, she convinces herself that Charlie invented everything he told her. They agree to meet at the footbridge, where Marian tells him the difference he's made in her life (""Till There Was You""). Marcellus interrupts and tells Harold that the uniforms have arrived. He urges Harold to take the money and run, but Harold refuses to leave, insisting, ""I've come up through the ranks... and I'm not resigning without my commission"". He returns to Marian, who tells him that she's known since three days after he arrived that he is a fraud. (Harold earlier claimed to have graduated from the Gary Conservatory in 1905, but Gary, Indiana, was not founded until 1906.) Because she loves him, she gives him the incriminating page out of the Indiana State Educational Journal. She leaves, promising to see him later at the Sociable. With his schemes for the boys' band and Marian proceeding even better than planned, Harold confidently sings ""Seventy-Six Trombones"". As he overhears Marian singing ""Goodnight My Someone"", Harold suddenly realizes that he is in love with Marian; he and Marian sing a snatch of each other's songs.
Meanwhile, Charlie Cowell, who has missed his train, arrives at the ice cream social and denounces Harold Hill as a fraud. The townspeople begin an agitated search for Harold. Winthrop is heartbroken and tells Harold that he wishes Harold never came to River City. But Marian tells Winthrop that she believes everything Harold ever said, for it did come true in the way every kid in town talked and acted that summer. She and Winthrop urge Harold to get away. He chooses to stay and tells Marian that he never really fell in love until he met her (""Till There Was You"" [Reprise]). The constable then handcuffs Harold and leads him away.
Mayor Shinn leads a meeting in the high school gym to decide what to do with Harold, asking, ""Where's the band? Where's the band?"" Marian defends Harold. Tommy enters as a drum major, followed by the kids in uniform with their instruments. Marian urges Harold to lead the River City Boys' Band in Beethoven's Minuet in G. Despite the boys' limited musical ability, the parents in the audience are nonetheless enraptured by the sight of their children playing music. Even Mayor Shinn is won over, and, as the townspeople cheer, Harold is released into Marian's arms (""Finale"").",romantic
La haine,"The film depicts approximately 19 consecutive hours in the lives of three friends in their early twenties from immigrant families living in an impoverished multi-ethnic French housing project (a ZUP – zone d'urbanisation prioritaire) in the suburbs of Paris, in the aftermath of a riot. Vinz (Vincent Cassel), who is Jewish, is filled with rage. He sees himself as a gangster ready to win respect by killing a cop, manically practising the role of Travis Bickle from the film Taxi Driver in the mirror secretly. His attitude towards police, for instance, is a simplified, stylized blanket condemnation, even to individual policemen who make an effort to steer the trio clear of troublesome situations. Hubert (Hubert Koundé) is an Afro-French boxer and small-time drug dealer, the most mature of the three, whose gymnasium was burned in the riots. The quietest, most thoughtful and wisest of the three, he sadly contemplates the ghetto and the hate around him. He expresses the wish to simply leave this world of violence and hate behind him, but does not know how since he lacks the means to do so. Saïd – Sayid in some English subtitles – (Saïd Taghmaoui) is an Arab Maghrebi who inhabits the middle ground between his two friends' responses to their place in life.
A friend of theirs, Abdel Ichaha, has been brutalized by the police shortly before the riot and lies in a coma. Vinz finds a policeman's .44 Magnum revolver, lost in the riot. He vows that if their friend dies from his injuries, he will use it to kill a cop, and when he hears of Abdel's death he fantasizes carrying out his vengeance.
The three go through an aimless daily routine and struggle to entertain themselves, frequently finding themselves under police scrutiny. After Vinz nearly shoots a riot policeman and the group narrowly escapes, they take a train to Paris but encounter many of the same frustrations, and their responses to interactions with both benign and malicious Parisians cause several situations to degenerate to dangerous hostility. A run-in with sadistic plainclothes policemen, during which Saïd and Hubert are humiliated and racially as well as physically abused, results in their missing the last train home and spending the night on the streets. They sleep in a shopping mall and wake to a news broadcast informing them that Abdel is dead. They later travel to a roof-top from which they insult skinheads and policemen, before later encountering the same group of racist anti-immigrant skinheads who begin to beat Saïd and Hubert savagely, now that the balance of power has shifted. Vinz suddenly arrives, and his gun allows him to break up the fight; all the skinheads flee except one (portrayed by Kassovitz himself) whom Vinz is about to execute in cold blood. His dream of revenge is thwarted by his reluctance to go through with the deed, and, cleverly goaded by Hubert, he is forced to confront the fact that his true nature is not the heartless gangster he poses as, and he lets the skinhead flee.
Early in the morning, the trio returns to the banlieue and split up to their separate homes, and Vinz turns the gun over to Hubert. However, Vinz and Saïd encounter a plainclothes policeman, whom Vinz had insulted earlier in the day whilst with his friends on a local rooftop. The policeman grabs and threatens Vinz, making reference to the earlier incident on the roof. Hubert rushes to their aid, but as the policeman holding Vinz taunts him with a loaded gun held to Vinz's head, the gun accidentally goes off, killing Vinz instantly. Hubert and the policeman slowly and deliberately point their guns at each other, and as the film cuts to Saïd closing his eyes and cuts to black, a shot is heard on the soundtrack, with no indication of who fired or who may have been hit. This stand-off is underlined by a voice-over of Hubert's slightly modified opening lines (""It's about a society in free fall...""), underlining the fact that, as the lines say, jusqu'ici tout va bien (so far so good); i.e. all seems to be going relatively well until Vinz is killed, and from there no one knows what will happen, a microcosm of French society's descent through hostility into pointless violence.","bleak, revenge, cult, realism, violence"
Les quatre cents coups,"Antoine Doinel (Jean-Pierre Léaud) is a young boy growing up in Paris during the 1950s. Misunderstood by his parents for playing truant from school and stealing, and tormented in school for discipline problems by his teacher (Guy Decomble), (Antoine falsely explains his being away from school was due to his mother's death), Antoine frequently runs away from both places. The boy finally quits school after being caught plagiarizing Balzac by his teacher. He steals a typewriter from his stepfather's (Albert Remy) work place to finance his plans to leave home, but is apprehended while trying to return it.
The stepfather turns Antoine over to the police and Antoine spends the night in jail, sharing a cell with prostitutes and thieves. During an interview with the judge, Antoine’s mother confesses that her husband is not Antoine’s biological father. Antoine is placed in an observation center for troubled youths near the seashore (as per his mother's wishes). A psychologist at the center probes reasons for Antoine's unhappiness, which the youth reveals in a fragmented series of monologues.
One day, while playing football with the other boys, Antoine escapes under a fence and runs away to the ocean, a place he has wanted to visit his entire life. He reaches the shoreline of the sea and runs into it. The film concludes with a freeze-frame of Antoine, and the camera optically zooms in on his face, looking into the camera.","neo noir, cult, cute, sentimental"
Busman's Honeymoon,"Larry Abbot (Wilder) and Vickie Pearle (Radner) are performers on radio's ""Manhattan Mystery Theater"" who decide to get married. Larry has been plagued with on-air panic attacks and speech impediments since proposing marriage. Vickie thinks it is just pre-wedding jitters, but his affliction could get them both fired.
Larry's uncle, Dr. Paul Abbot, decides that Larry needs to be cured. Paul decides to treat him with a form of shock therapy to ""scare him to death"" in much the same way someone might try to startle someone out of hiccups.
Larry chooses a castle-like mansion in which he grew up as the site for their wedding. Vickie gets to meet Larry's eccentric family: great-aunt Kate (DeLuise in drag), who plans to leave all her money to Larry; his uncle, Francis; and Larry's cousins, Charles, Nora, Susan, and the cross-dressing Francis Jr. Also present are the butler Pfister and wife Rachel, the maid; Larry's old girlfriend Sylvia, who is now dating Charles; and Susan's magician husband, Montego the Magnificent.
Paul begins his ""treatment"" of Larry and lets others in on the plan. Unfortunately for all, something more sinister and unexpected is lurking at the Abbot Estates mansion. The pre-wedding party becomes a real-life version of Larry and Vickie's radio murder mysteries, werewolves and all.",murder
Chained for Life,"The movie opens with a judge (Norval Mitchell) begging the audience for help in resolving a terrible dilemma. The action moves to a courtroom, where Vivian Hamilton is on trial for the shooting death of her sister's lover. The story unfolds in flashback as various characters are called to testify.
Conjoined twins Dorothy and Vivian Hamilton (Daisy and Violet Hilton) have a successful vaudeville singing act, but their manager Hinkley (Allen Jenkins) thinks a publicity stunt will reinvigorate their career. He pays stunt shooter Andre Pariseau (Mario Laval) to fake a romance with one of the twins. Vivian, the brunette, dislikes Andre and wants nothing to do with the scheme, but Dorothy, the blonde, quips that she is too old to turn down a chance at love, and agrees to serve as Andre's love interest.
The ploy works, with ""the girls"" singing for standing room only crowds. But Dorothy actually falls in love with the scheming Andre, though he is secretly involved with his shooting-act partner, Renee (Patricia Wright).
Andre proposes marriage, but the couple is unable to obtain a marriage license due to allegations that the marriage would constitute bigamy. A desperate Dorothy convinces Vivian to seek separation surgery, even at the risk of their lives, so that she can pursue her dreams of love. Doctors, however, inform the women that such surgery is impossible. But, the doctors stress, there is no physical reason that Dorothy can not marry.
By consulting with a blind minister, Dorothy and Andre are able to obtain their marriage license. The wedding ceremony is performed on-stage before an audience of dignitaries including the mayor.
But the next day, Andre leaves Dorothy, claiming that he could not adjust to life as the husband of a conjoined twin. Vivian knows differently, because she has seen Andre and Renee kissing passionately and her suspicions of Andre are confirmed. Vivian is outraged that her sister was mistreated.
During Andre's shooting performance, Vivian seizes one of Andre's guns and shoots him dead before a horrified audience.
The film returns to the judge, who cannot decide how to dispose of the case. Justice for Andre requires that his murderer, Vivian, be executed. But this would cost the life of the innocent Dorothy. The film ends with a plea for the viewer to resolve the dilemma.",murder
The Great Raid,"In 1944, American forces were closing in on the Japanese-occupied Philippines. The Japanese held around 500 American prisoners who had survived the Bataan Death March in a notorious POW camp at Cabanatuan and subjected them to brutal treatment and summary execution, as the Japanese view surrender as a disgrace. Many prisoners were also stricken with malaria.
The film opens with the massacre of prisoners of war on Palawan by the Kempeitai, the Imperial Japanese military's secret police (though factually, it was committed by the Japanese Fourteenth Area Army).
Meanwhile, at Lingayen Gulf, the 6th Ranger Battalion under Lt. Col Mucci is ordered by Lt. Gen. Walter Krueger to liberate all of the POWs at Cabanatuan prison camp before they are killed by the Japanese. The film chronicles the efforts of the Rangers, Alamo Scouts from the 6th Army and Filipino guerrillas as they undertake the Raid at Cabanatuan.
Throughout the film, the viewpoint switches between the POWs at Cabanatuan, the Rangers, the Filipino resistance and the Japanese.
In particular, the film covers the resistance work undertaken by nurse Margaret Utinsky, who smuggled medicine into the POW camps. The Kempeitai arrested her and sent her to Fort Santiago prison. She was eventually released, but spent six weeks recovering from gangrene as a result of injuries sustained from beatings.","realism, violence, inspiring, murder, flashback"
The Expendables 2,"The Expendables—leader Barney Ross, knife specialist Lee Christmas, hand-to-hand combat specialist Yin Yang, heavy-weapons specialist Hale Caesar, demolitions expert Toll Road, the unstable Gunner Jensen, and sniper Billy the Kid, the team's newest recruit and Ross' protégé—are deployed to Nepal to rescue Dr. Zhou, a hostage. They also rescue the captured mercenary Trench, Ross's rival. Yang leaves the group to escort Zhou back to China.
After returning to New Orleans, Billy tells Ross that he intends to retire at the end of the month and live with his girlfriend Sophia. Later, Ross is forced to accept a mission from CIA operative Mr. Church to retrieve an item from a downed airplane in Albania. Church sends technical expert Maggie Chan with the team. In Albania the Expendables retrieve the item, but are then ambushed by international criminal and arms dealer Jean Vilain, his right-hand man Hector and his mercenary group (the Sangs), who have captured Billy. Vilain demands the item in exchange for Billy's life. The team gives up the item, but Vilain roundhouse kicks a knife through Billy's heart and flees with the Sangs by helicopter. Ross recovers a note for Sophia from Billy's body; the team buries their fallen comrade, swearing vengeance on Vilain.
Maggie tells them that the item is a computer, with the location of five tons of refined plutonium abandoned in a mine by the Soviet Union after the Cold War. Vilain intends to retrieve the plutonium and sell it. The Expendables are able to weakly track the computer's signal and follow Vilain, which leads them to Bulgaria where they stay overnight at an abandoned Russian military base. The next morning, the team is ambushed by the Sangs and a tank. After the Expendables run out of ammunition, they are saved by Ross's old friend, Booker, who quickly eliminates both the Sangs and the tank. Before he departs, Booker informs the group of a nearby village whose residents oppose Vilain. Meanwhile, Hector and Vilain dig up the plutonium and begin collecting it.
In the village, the Expendables find several armed female villagers guarding their children from Vilain's forces. The local inhabitants are taken and put to work as slaves in the mine, never returning, and the women ask for the Expendables' help. The Sangs arrive for more villagers, but are ambushed by the Expendables and killed. After locating Vilain and the mine, the team assaults the area with their plane before deliberately crashing into the mine. The team saves the enslaved miners from execution, but Vilain and Hector escape with the plutonium. Vilain remotely detonates explosive charges in the mine; it collapses, trapping the miners and the Expendables.
Church and Trench arrive, freeing the miners and the team, and join the Expendables to pursue Vilain. The group intercepts Vilain and his men at an airport as he prepares to leave by plane. Joined again by Booker, the Expendables, Trench and Church engage the Sangs in battle. Christmas decapitates Hector, while Ross and Vilain fight hand-to-hand. Ross defeats Vilain, stabbing him and avenging Billy.
In the aftermath, Ross is given an old Antonov An-2 biplane by Church; Church, Maggie, Booker and Trench then leave the team. In France, Sophia discovers a box on her doorstep with a large sum of money and Billy's letter. As the Expendables depart in the plane, they propose a final toast to Billy.","boring, murder, bleak, violence, cult, good versus evil, humor, action, revenge"
The Theatre Bizarre,"The film contain six stories, each inspired by Paris’ legendary Grand Guignol theatre.
The six stories are presented within a connecting framework, ""Theatre Guignol"": Enola Penny is intrigued by an abandoned theatre in her neighborhood. One night the theatre door mysteriously opens and she enters. A puppet host (or Guignol) introduces six short films. ""Mother of Toads"", ""I Love You"", ""Wet Dreams"", ""The Accident"", ""Vision Stains"" and ""Sweets"". As each is shown, the host becomes more human and Enola becomes more puppet-like.
""I Love You"", ""Wet Dreams"" and ""Sweets"" match the Grand Guignol genre: physical or psychological conte cruel horror with natural explanations, cynical, amoral, ironic, sexy or gory in combinations.
""Mother of Toads"" is loosely based on a supernatural horror story by Clark Ashton Smith. Set in France, the story concerns an American anthropologist and his girlfriend who fall victim to a witch known as The Mother of Toads after the witch sells them a pair of Elder Sign earrings and shows the anthropologist a copy of The Necronomicon.
""I Love You"", set in Berlin, concerns a man who awakes on his bathroom floor with bloodstains around him and deep cuts in his right hand. He is an obsessive man who follows and calls his partner constantly. His partner, a French woman, announces she is leaving him and that she has been unfaithful to him on many occasions and even had an abortion without him knowing. The obsessive nature of the man's love leads to the doom of three people.
In ""Vision Stains"" a writer/serial killer injects fluid extracted from her victims' eyes into her own to experience their lives for her journals. Most reviews note ""The Accident"" seems out of place: a mother and daughter thoughtfully discuss the nature of death after witnessing an accident.","romantic, murder, flashback"
MacGruber,"In eastern Siberia's Dzhugdzhur Mountains, Dieter Von Cunth and his men take control of the X-5 missile, which has a nuclear warhead. In Ecuador, Col. Jim Faith and Lt. Dixon Piper are searching for former Green Beret, Navy SEAL and Army Ranger MacGruber. The two men find him meditating in a chapel, and try to convince him to retrieve the warhead. MacGruber refuses; later that night, MacGruber explodes into a fit of rage after a flashback where Cunth killed his fiancée, Casey Fitzpatrick, at their wedding; he then accepts offer.
After having a heated conversation with Faith and Piper at The Pentagon, MacGruber forms his own team to pursue Cunth. MacGruber recruits all but his long-time friend Vicki St. Elmo and Brick Hughes. MacGruber meets Faith and Piper on a tarmac, while his team is in a van with his homemade C-4 explosives. The van explodes, killing the team and MacGruber is removed from the case. MacGruber convinces Piper to form a new team, now including Vicki.
The group travels to Cunth's nightclub in Las Vegas. MacGruber gets on stage and announces who he is, his intentions, and where he will be the next day. The team sets up a sting operation with Vicki portraying MacGruber. Hoss Bender, one of Cunth's henchmen, attacks the van MacGruber and Piper are in, but MacGruber runs down Bender. With Vicki disguised as Bender and Piper disguised as MacGruber, the team breaks into a warehouse to stop Cunth from getting the passwords to operate the rocket. MacGruber distracts the guards and Piper kills most of the men, but is unable to stop the transfer of the pass codes. The team goes to a charity event Cunth is holding and Cunth's guards throw MacGruber out.
MacGruber returns to the Pentagon where Faith reprimands him and takes him off of the case. Soldiers attack and MacGruber uses Piper as a human shield to survive; Vicki and MacGruber escape. Piper survives since he was wearing a bulletproof vest, but leaves since MacGruber used him as protection. Vicki and MacGruber return to Vicki's house where the two have sex. MacGruber goes to his wife's grave in shame, but her ghost gives her blessing. MacGruber then has sex with the ghost of his wife on her tombstone.
Upon returning to Vicki's house, MacGruber discovers that Cunth has kidnapped her and what Cunth's plan is: to bomb the State of the Union address. Cunth calls MacGruber to gloat, but MacGruber traces the call. MacGruber and Piper make their way into Cunth's compound. Soldiers capture MacGruber and Piper and bring them to Vicki and the missile. The group overpowers Cunth and his men and MacGruber handcuffs Cunth to a handrail. MacGruber removes the nuclear component and guidance system before his team escapes as the missile explodes.
Six months later, MacGruber and Vicki are getting married. Also present at the wedding as ghosts are his dead team members. MacGruber spots a disfigured Cunth with an RPG. MacGruber saves Vicki, and battles Cunth before throwing him off a cliff behind the altar, shooting him with a machine gun and launching a grenade as he falls, incinerating the corpse, and finally urinating on it at the foot of the cliff.","comedy, murder, stupid, cult, violence, flashback, good versus evil, absurd, humor, revenge"
Starship Troopers 2: Hero of the Federation,"On an unnamed planet inhabited by the Arachnids, a squad of soldiers find themselves pinned down and surrounded on all sides by Arachnid forces. Even with their new laser gun technology and assistance from psychic soldiers, the Arachnid assault overwhelms them and General Jack Shepherd (Ed Lauter) decides to make a last stand with several of his best soldiers, allowing the majority of his surviving troops to escape. The plan works, and the soldiers, whom include Sergeant Dede Rake (Brenda Strong), the psychic Lieutenant Pavlov Dill (Lawrence Monoson), Private Jill Sandee (Sandrine Holt) and her lover Private Duff Horton (Jason-Shane Scott), and Private Lei Sahara (Colleen Porch) escape. Despite reaching relative safety, the team is whittled down by deadly dust storms and Arachnid ambushes. Among these deaths is the only member of the platoon with a radio, Corporal Thom Kobe (Brian Tee). Lieutenant Dill finds himself unable to command his soldiers as he receives traumatic visions of utter annihilation. He takes his anger out on Private Sahara, who is revealed to have been psychic but lost reliable control of her psychic abilities as puberty took place, which seems to be rather typical.The remaining refugees find themselves sheltering within Hotel Delta 1-8-5, an old and abandoned structure containing Captain V. J. Dax (Richard Burgi), a disgraced (though with a fantastic combat record) soldier who had killed his commanding officer and was sealed in a furnace-like cell to be taken back to Earth to be court-martialled for his crime. As a deadly dust storm kicks up, the soldiers find themselves without communications or back-up for a lengthy period of time and protect themselves through the use of electric pulse fences with limited battery power to hold off the Arachnid warrior bugs. Dax takes command of the small group, much to the annoyance of Dill, and the two develop an instant dislike to each other at first sight. Dax sees Dill as an incompetent commander, while Dill sees Dax as a traitor to the Federation.Soon after defenses for Hotel Delta are set up, Shepherd and three of the soldiers return. While the troops in the outpost originally think that all of their comrades has reached safety, it becomes clear that, in fact, all their comrades died. But Shepherd was rescued by three of his fellow soldiers. In addition to Shepherd, the three troops include the near-catatonic Private Charlie Soda (Kelly Carlson), the odd acting Tech Sergeant Ari Peck (J. P. Manoux), and the medic Private Joe Griff (Ed Quinn). With the help of the newcomers, they solve all of their technical issues, including lack of communication. After General Shepherd manages to radio to the Starfleet, they now need only to wait for a Fleet dropship to rescue them, but it may take several hours due to the fleet being on the other side of the planet.Tempers flare at the base as Soda seduces both Horton and Sandee. In a rage, Soda finds a new significant other in Griff. However, both Horton and Sandee soon act strange, as do many other survivors. Sahara seems to have become ill as she has nightmares and wakes up vomiting. Accidentally brushing Griff's hands brings on a psychic vision in Sahara. Sahara goes to Rake for advice and tells her what really went on. Rake suggests that Sahara is simply pregnant and that pregnancy not only brings on the symptoms she describes, but makes girls temperamental and makes them think that ""they know it all"". Eventually, Sahara and Dax find themselves facing a new breed of Arachnid, a small bug that infests the human body by forcing open the mouth and propagating inside the brain. They come to Dill with their news and make amends with him, also learning that he only made bad decisions because of the visions he was receiving and that he felt incredibly guilty over the loss of men under his command in the escape. Sahara tells Dill that she has been receiving parts of the vision as well, and Dill reveals to Sahara that an occasional side-effect of pregnancy is the temporary return of the psychic abilities lost at puberty.Soon after making amends, Dill corners several infected soldiers and intends for them to be captured and studied, but as he insults them another infected soldier kills him with a knife that Dax gave him earlier. The assault is blamed on Dax (his name was inscribed on the knife) and he is imprisoned again in the cell.Eventually a dropship finally arrives but all of the troopers are infected including Shepherd, who, if returned to Earth, may infect the leaders of the Federation. Rake takes multiple adrenaline shots, wounding one infected soldier and killing another before freeing Dax, but kills herself because she has also been infected (Note: it is unclear why the parasite was unable to control her, perhaps because of the adrenaline shots).A soldier attempts to infect Sahara, but after several unsuccessful attempts to stop him, Sahara manages to kill him and escape. Sahara uses her restored psychic abilities to read the mind of the bug that had attempted to control Rake's mind and discovers the bugs plan: use General Sheppard to infest High Command allowing the bugs to wipe out the human race on Earth and cause Sahara's vision to come true. Sahara and Dax kill the rest of the infected troops, and make it to the roof of the structure to confront the infected Shepherd just as the pulse fences give way, allowing thousands of warrior bugs to swarm over Hotel Delta. Just as Shepherd is about to be rescued, Dax kills him with two rifles held akimbo. He gets Sahara onto the ship and tells the bewildered crew that she holds information vital to the survival of the Federation. He then refuses to get onto the ship (""Murderers don't go home!"") and vows to give her time to escape. Dax goes down in a blaze of glory, fending off bugs as they overwhelm him.Planet Earth, one year later. Although Dax is labeled as a Hero of the Federation, his death is shrouded in propaganda as the Federation uses his end as a means of recruitment. Sahara and her newborn baby attend a lecture by a recruiting officer whom is encouraging visitors to join up in the continuing war against the bugs. Having received an honorable discharge from the military to raise her infant son, Sahara walks out of the recruiting station. The recruiting officer walks up to Sahara after the lecture and thanks her for attending, and then, after seeing her baby that she is holding, urges her to raise her son well for: ""we need fresh meat for the grinder"". Sahara, alarmed, flees the recruiting station. This act appears to have no effect on the recruiter, showing the movie's take on military idealism.","violence, flashback"
Shall we dansu?,"The film begins with a close-up of the inscription above the stage in the ballroom of the Blackpool Tower: ""Bid me discourse, I will enchant thine ear"", from the poem Venus and Adonis by William Shakespeare. As the camera pans around the ballroom giving a view of the dancers, a voice-over explains that in Japan, ballroom dancing is treated with suspicion.
Shohei Sugiyama (Kōji Yakusho) is a successful salaryman, with a house in the suburbs, a devoted wife, Masako (Hideko Hara), and a teenage daughter, Chikage (Ayano Nakamura). He works as an accountant for a firm in Tokyo. Despite these external signs of success, however, Sugiyama begins to feel as if his life has lost direction and meaning and falls into depression.
One night, while coming home on the Tokyo Subway, he spots a beautiful woman with a melancholy expression looking out from a window in a dance studio. This is Mai Kishikawa (Tamiyo Kusakari), a well-known figure on the Western ballroom dance circuit. Sugiyama becomes infatuated with her and decides to take lessons in order to get to know her better.
Sugiyama's life changes once his classes begin. Rather than Mai, his teacher is Tamako Tamura (Reiko Kusamura), who becomes an important mentor to him. He meets his classmates: Tōkichi Hattori (Yu Tokui) who joined to impress his wife, and Masahiro Tanaka (Hiromasa Taguchi) who joined to lose weight. He also meets Toyoko Takahashi (Eriko Watanabe), another student. He further discovers that one of his colleagues from work Tomio Aoki (Naoto Takenaka) is a regular at the dance studio. Aoki, who is balding and mocked at work for his rigid ways, is revealed to be leading a secret life as a long-haired (via a wig) ballroom dancer. Though distant from her, the classes increase his infatuation for Mai. His secret thus becomes twofold: not only must he hide the lessons from his wife, he must also hide them from his friends and colleagues as it is considered embarrassing according to traditional Japanese customs to participate in Western ballroom dance.
Later, after being rebuffed by Mai, Sugiyama discovers to his surprise that his passion for ballroom dance outweighs his infatuation with her. Indeed, dancing, rather than Mai, gives Sugiyama the meaning in life that he was looking for.
Masako, noticing his odd behavior, thinks that he is having an affair — so she hires a private detective to follow him. Meanwhile, along with his classmates, Sugiyama enters an amateur competition – only to find out that his wife, having finally learned the truth from the detective (who has now become a devoted fan of ballroom dancing) is in the audience. Surprised by this, he stumbles and nearly knocks his dance partner to the floor. Though he is able to catch her, he accidentally rips the skirt of her dress off. Both leave the contest. Later, they learn that Tomio won the contest. When Tomio is ridiculed at work after his colleagues read of his success in the newspaper, Sugiyama stands up and tells them not to make fun of something they don't understand.
At home, Sugiyama's wife tries to understand her husband's new passion by asking him to teach her to dance as well. He is invited to a good-bye party for Mai, who is leaving for Blackpool. At the party, Mai joins him to dance, asking him ""Shall we dance?""",romantic
